breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Mixed Breed,,False,False,Callie,Baby,Female,Medium,Northwood,NH,03261,US,,New Hampshire,NH,MA
Alaskan Malamute,,False,False,Winter Vale,Young,Female,Medium,Gettysburg,PA,17325,US,,New Jersey,NJ,DC
Alaskan Malamute,,False,False,Murry Murdoch da Tank!,Baby,Male,Large,Gettysburg,PA,17325,US,,New Jersey,NJ,DC
Alaskan Malamute,,False,False,Lakota Mato (Bear),Young,Male,Large,Berryville,VA,22611,US,,New Jersey,NJ,DC
Alaskan Malamute,,False,False,Apollo the White Knight,Young,Male,Large,Gaithersburg,MD,20879,US,,New Jersey,NJ,DC
Alaskan Malamute,Husky,True,False,Finn MacCool,Young,Male,Medium,Gaithersburg,MD,20879,US,,New Jersey,NJ,DC
Alaskan Malamute,,False,False,"Maddie \Cutie Patootie!\"",""Maddie is our little Miss Cutie Patootie! She is a short and stocky malamute girl with so much personality. She...",Adult,Female,Large,PA,PA,US,DC,,New Jersey,NJ,2019-09-20
Alaskan Malamute,Siberian Husky,True,False,"Bucky \Are u my hooman?\"",""Born in August 2014, Bucky has a great sense of humor and is full of personality.  He would love to...",Adult,Male,Large,PA,PA,US,DC,,New Jersey,NJ,2019-09-20
Shepherd,,True,False,Rainier,Adult,Male,Medium,Moorestown,NJ,08057,US,,Texas,TX,DE
Pomeranian,,False,False,Baby,Senior,Male,Small,Pennington,NJ,08534,US,,New Jersey,NJ,DE
Labrador Retriever,Pit Bull Terrier,True,False,Tessa,Young,Female,Medium,Pennington,NJ,08534,US,,New Jersey,NJ,DE
Rottweiler,German Shepherd Dog,True,False,Marley,Young,Male,Large,Pennington,NJ,08534,US,,New Jersey,NJ,DE
Bull Terrier,,False,False,Dexter,Adult,Male,Medium,Hartsville,SC,29550,US,,New Jersey,NJ,NC
Hound,Shepherd,True,False,Muffin,Young,Female,Large,Madison,NJ,07940,US,,North Carolina,NC,NJ
Chihuahua,,False,False,Clyde Lonestar*,Adult,Male,Small,Rockaway,NJ,07866,US,,Texas,TX,NJ
Labrador Retriever,,True,False,Lula,Adult,Female,Medium,Cranford,NJ,07016,US,,New Jersey,NJ,NJ
Boxer,Staffordshire Bull Terrier,True,False,Freddie,Adult,Male,Medium,Spring Lake,NJ,07730,US,,New Jersey,NJ,NJ
Pit Bull Terrier,Labrador Retriever,True,False,Patch,Adult,Male,Large,Cranford,NJ,07016,US,,New Jersey,NJ,NJ
Terrier,,True,False,Lady Beaufort,Adult,Female,Medium,Rockaway,NJ,07866,US,,South Carolina,SC,NJ
Australian Cattle Dog / Blue Heeler,German Shepherd Dog,True,False,Liutenant Dan,Adult,Male,Medium,Highland Lakes,NJ,07422,US,,New Jersey,NJ,CT
Carolina Dog,,False,False,Eliza,Adult,Female,Small,Kanab,UT,84741,US,,New Mexico,NM,89024
Pit Bull Terrier,,True,False,Fenway,Adult,Female,Small,Kanab,UT,84741,US,,New Mexico,NM,89024
Pit Bull Terrier,,False,False,Lotti,Senior,Female,Small,Kanab,UT,84741,US,,New Mexico,NM,89024
Shepherd,,False,False,Thor,Senior,Male,Small,Kanab,UT,84741,US,,New Mexico,NM,89027
Terrier,,True,False,Bo,Baby,Male,Small,Litchfield Park,AZ,85340,US,,New Mexico,NM,AZ
German Shepherd Dog,,True,False,Dakota,Young,Female,Medium,Littleton,CO,80126,US,,New Mexico,NM,CO
German Shepherd Dog,,True,False,Legend,Baby,Male,Medium,Broomfield,CO,80020,US,,New Mexico,NM,CO
Boxer,,True,False,Jupiter,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Pluto,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Uri,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Mercury,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Mars,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Neptune,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Boxer,,True,False,Saturn,Baby,Male,Medium,Loveland,CO,80539,US,,New Mexico,NM,CO
Shepherd,Cattle Dog,True,False,Sky,Baby,Female,Medium,Englewood,CO,80113,US,,New Mexico,NM,CO
Pit Bull Terrier,,True,False,Lemon,Adult,Female,Medium,Englewood,CO,80113,US,,New Mexico,NM,CO
Doberman Pinscher,,False,False,Spot,Adult,Male,Large,Albuquerque,NM,87120,US,,New Mexico,NM,NM
Chihuahua,,False,False,Peanut2,Adult,Male,Small,Albuquerque,NM,87107,US,,New Mexico,NM,NM
Terrier,West Highland White Terrier / Westie,True,False,Winnie: medical hold (NY),Adult,Female,Small,Utica,NY,13502,US,,New Mexico,NM,NY
Terrier,West Highland White Terrier / Westie,True,False,Winnie: medical hold (NY),Adult,Female,Small,Utica,NY,13502,US,,New Mexico,NM,NY
Australian Cattle Dog / Blue Heeler,,False,False,Trinket,Adult,Female,Medium,Grantsville,UT,84029,US,,New Mexico,NM,UT
Akita,,False,False,Kimy,Adult,Female,Extra Large,Snellville,GA,30039,US,New Orleans,Louisiana,LA,GA
American Staffordshire Terrier,,True,False,Sebastien(dino),Young,Male,Medium,Chattanooga,TN,37415,US,New Orleans,Louisiana,LA,TN
German Shepherd Dog,Labrador Retriever,True,False,SANDY,Senior,Female,Large,Flushing,NY,11354,US,New Windsor,New York,NY,CT
Pit Bull Terrier,,True,False,Cliff,Adult,Male,Small,Kanab,UT,84741,US,,New York,NY,89024
Husky,Mixed Breed,True,False,GINGER,Young,Female,Large,Hampton Bays,NY,11946,US,,New York,NY,CT
Pomeranian,,False,False,Kya,Adult,Female,Small,Long Beach,NY,11561,US,,California,CA,CT
Jindo,,False,False,Apple,Adult,Female,Small,Harrison,NY,10528,US,,New York,NY,CT
Alaskan Malamute,,False,False,Winter Vale,Young,Female,Medium,Gettysburg,PA,17325,US,,New York,NY,DC
Alaskan Malamute,,False,False,Murry Murdoch da Tank!,Baby,Male,Large,Gettysburg,PA,17325,US,,New York,NY,DC
Alaskan Malamute,,False,False,Lakota Mato (Bear),Young,Male,Large,Berryville,VA,22611,US,,New York,NY,DC
Alaskan Malamute,,False,False,Apollo the White Knight,Young,Male,Large,Gaithersburg,MD,20879,US,,New York,NY,DC
Alaskan Malamute,Husky,True,False,Finn MacCool,Young,Male,Medium,Gaithersburg,MD,20879,US,,New York,NY,DC
American Bulldog,Terrier,True,False,Blaze,Adult,Male,Large,Warren,NJ,07059,US,,New York,NY,NJ
Terrier,West Highland White Terrier / Westie,True,False,Winnie: medical hold (NY),Adult,Female,Small,Utica,NY,13502,US,,New York,NY,NY
Pit Bull Terrier,,True,False,Mocha,Adult,Female,Medium,Dillsburg,PA,17019,US,New York City,New York,NY,DC
Pit Bull Terrier,,False,False,XP Digby - New York City,Adult,Male,Medium,Rockaway,NJ,07866,US,New York City,New York,NY,NJ
Pit Bull Terrier,,True,False,XP Roo - NYC,Adult,Female,Medium,Rockaway,NJ,07866,US,New York City,New York,NY,NJ
Pit Bull Terrier,,False,False,Tone,Adult,Male,Medium,East Patchogue,NY,11772,US,Newark,New Jersey,NJ,CT
Beagle,,False,False,Vinny,Young,Male,Small,Montclair,NJ,07043,US,Newark,New Jersey,NJ,CT
Pit Bull Terrier,,False,False,Dustin,Adult,Male,Large,East Patchogue,NY,11772,US,Newark,New Jersey,NJ,CT
American Staffordshire Terrier,Boxer,True,False,Cappuccino,Adult,Male,Large,Ewing,NJ,08628,US,Newark,New Jersey,NJ,DE
American Staffordshire Terrier,,False,False,Sheba,Adult,Female,Medium,Forked River,NJ,08731,US,Newark,New Jersey,NJ,DE
American Staffordshire Terrier,,False,False,Tank,Adult,Male,Medium,Forked River,NJ,08731,US,Newark,New Jersey,NJ,DE
Shepherd,,True,False,Abel,Young,Male,Large,Forked River,NJ,08731,US,Newark,New Jersey,NJ,DE
Pit Bull Terrier,,False,False,"XP Molly - Newark, NJ",Adult,Female,Medium,Rockaway,NJ,07866,US,Newark,New Jersey,NJ,NJ
Labrador Retriever,,True,False,Labradors,Young,Male,Medium,Newnan,GA,30265,US,Newnan,Georgia,GA,GA
Beagle,,True,False,Beagles,Young,Female,Small,Newnan,GA,30265,US,Newnan,Georgia,GA,GA
Cocker Spaniel,,False,False,Sadie & Jada,Adult,Male,Medium,Greenfield,NH,03047,US,,New Hampshire,NH,CT
Cattle Dog,,True,False,Luke - COURTESY POST,Young,Male,Medium,East Derry,NH,03041,US,,Tennessee,TN,MA
Cattle Dog,,True,False,Lilly,Adult,Female,Medium,Pelham,NH,03076,US,,Texas,TX,MA
Cattle Dog,Pointer,True,False,Luke,Young,Male,Medium,Pelham,NH,03076,US,,Tennessee,TN,MA
Hound,,True,False,Fox,Senior,Male,Large,Jefferson,NH,03583,US,,New York,NY,NH
Beagle,Treeing Walker Coonhound,True,False,Hermione,Baby,Female,Medium,Westwood,NJ,07675,US,,Kentucky,KY,CT
Labrador Retriever,Pit Bull Terrier,True,False,Ellie,Young,Female,Medium,New York,NY,10023,US,,New Jersey,NJ,CT
Pit Bull Terrier,,False,False,Dustin,Adult,Male,Large,East Patchogue,NY,11772,US,,New Jersey,NJ,CT
Terrier,,True,False,Yosemite,Baby,Female,Small,Moorestown,NJ,08057,US,,Texas,TX,DE
Hound,Labrador Retriever,True,False,Ginger,Baby,Female,Large,Cherry Hill,NJ,08034,US,,Arkansas,AR,DE
Cattle Dog,American Staffordshire Terrier,True,False,Lulu  urgent **Needs a Foster Home***,Adult,Female,Medium,Williamstown,NJ,08094,US,,New Jersey,NJ,DE
Labrador Retriever,,False,False,Drake and Waffles,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,German Shepherd Dog,True,False,Chester,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Shepherd,,False,False,Beast,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
American Bulldog,,False,False,Sampson,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Boxer,,False,False,Jennings,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Trooper,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
American Bulldog,,False,False,Thunder,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Border Collie,,True,False,Shazzy,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Max,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Cooper,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
American Bulldog,,True,False,Kendal,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Dynomite,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Madison,Baby,Female,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Terrier,,False,False,Spikey,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
American Bulldog,,False,False,Buster,Adult,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Hound,,False,False,Gene,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Terrier,,True,False,Thomas,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Easy,Baby,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Labrador Retriever,,False,False,Britt,Young,Male,Medium,Elizabethtown,NC,28337,US,,North Carolina,NC,NC
Miniature Schnauzer,,False,False,Mylo,Senior,Male,Small,Oak Ridge,NJ,07438,US,,New Jersey,NJ,NJ
